Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Shai Gilgeous-Alexander,26,OKC,PG,56,56,34.2,11.2,21.4,.523,2.1,5.7,.364,9.1,15.7,.580,.571,8.0,8.9,.892,0.9,4.3,5.2,6.2,1.9,1.1,2.6,2.3,32.4,
Giannis Antetokounmpo,30,MIL,PF,45,45,34.2,12.4,20.3,.609,0.2,0.8,.189,12.2,19.5,.626,.613,6.0,10.4,.581,2.2,9.8,12.0,5.8,0.8,1.3,3.4,2.5,31.0,
Nikola JokiÄ,29,DEN,C,52,52,36.0,11.1,19.3,.575,2.0,4.5,.445,9.1,14.8,.614,.627,4.9,6.0,.821,3.0,9.6,12.6,10.4,1.8,0.7,3.2,2.1,29.2,
Anthony Edwards,23,MIN,SG,57,57,36.8,9.1,20.9,.436,4.1,10.2,.406,5.0,10.7,.465,.535,5.1,6.1,.833,0.8,5.2,6.0,4.6,1.2,0.6,3.5,1.9,27.5,
Tyrese Maxey,24,PHI,PG,49,49,37.8,9.4,21.1,.447,3.3,9.4,.349,6.1,11.7,.525,.524,5.0,5.8,.876,0.3,3.1,3.4,6.0,1.8,0.4,2.5,2.3,27.1,
Kevin Durant,36,PHO,PF,45,45,36.8,9.8,18.4,.530,2.4,5.9,.402,7.4,12.6,.589,.593,5.0,6.1,.828,0.4,5.7,6.0,4.3,0.9,1.4,3.0,1.7,26.9,
Jayson Tatum,26,BOS,PF,55,55,36.4,9.0,19.9,.452,3.6,10.1,.354,5.4,9.8,.553,.542,5.1,6.3,.801,0.6,8.1,8.7,5.8,1.1,0.5,2.8,2.2,26.6,
Luka DonÄiÄ,25,LAL,PG,5,5,29.2,6.4,16.8,.381,2.0,8.0,.250,4.4,8.8,.500,.440,4.2,5.6,.750,1.2,7.8,9.0,7.0,1.8,0.8,3.0,3.0,19.0,
LaMelo Ball,23,CHO,PG,36,36,32.3,9.1,22.1,.411,3.9,11.6,.333,5.2,10.4,.497,.498,4.3,5.2,.830,0.9,4.1,5.1,7.1,1.3,0.3,3.4,3.2,26.3,
Devin Booker,28,PHO,SG,52,52,37.2,8.6,19.0,.455,2.6,7.6,.344,6.0,11.4,.530,.524,6.3,7.0,.896,1.0,3.0,4.0,6.8,1.1,0.3,2.7,2.6,26.2,
Jalen Brunson,28,NYK,PG,56,56,35.2,9.0,18.4,.491,2.3,5.9,.395,6.7,12.5,.536,.554,5.6,6.8,.820,0.4,2.4,2.9,7.4,0.9,0.1,2.5,2.2,26.0,
Cade Cunningham,23,DET,PG,53,53,35.5,9.6,20.8,.460,2.3,6.4,.365,7.2,14.4,.502,.516,4.3,5.0,.850,0.8,5.5,6.3,9.5,1.0,0.8,4.4,2.6,25.8,
Anthony Davis,31,DAL,PF,1,1,31.0,10.0,18.0,.556,2.0,2.0,1.000,8.0,16.0,.500,.611,4.0,6.0,.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,
Damian Lillard,34,MIL,PG,47,47,36.4,7.8,17.6,.446,3.5,9.2,.380,4.3,8.4,.518,.545,6.3,6.9,.917,0.6,4.1,4.7,7.4,1.2,0.2,2.9,1.7,25.5,
Kyrie Irving,32,DAL,SG,47,47,36.6,9.0,19.0,.475,3.0,7.3,.411,6.1,11.8,.515,.554,3.9,4.2,.910,1.2,3.6,4.8,4.7,1.3,0.4,2.3,2.1,24.9,
Franz Wagner,23,ORL,SF,40,40,33.2,9.1,19.6,.466,1.9,6.2,.308,7.2,13.4,.539,.515,4.8,5.6,.852,1.0,4.7,5.7,4.9,1.4,0.5,2.3,2.6,24.9,
Karl-Anthony Towns,29,NYK,C,52,52,35.1,9.0,16.9,.532,2.1,4.8,.432,6.9,12.1,.571,.593,4.8,5.7,.837,3.1,10.4,13.5,3.2,1.0,0.8,2.6,3.5,24.8,
